00h00m06s +32d45m00s
00h00m12s +32d49m00s
00h00m24s +50d42m00s
00h00m24s +32d47m00s
00h00m24s +32d47m00s
00h01m06s +06d13m00s
00h01m06s +04d30m00s
00h01m06s +04d31m00s
00h01m18s +07d45m00s
00h01m24s +13d06m00s
00h01m24s +31d26m00s
00h01m24s +34d32m00s
00h01m30s +31d27m00s
00h01m36s +11d21m00s
00h02m06s +16d36m00s
00h02m12s +02d56m00s
00h02m24s +12d57m00s
00h02m24s +04d07m00s
00h02m30s +03d20m00s
00h02m36s +16d37m00s
00h02m42s +16d35m00s
00h02m42s -66d11m00s
00h02m54s -34d15m00s
00h03m12s -11d59m00s
00h03m12s +15d58m00s
00h03m18s +16d09m00s
00h03m24s +20d41m00s
00h03m24s -65d11m00s
00h03m30s -10d45m00s
00h03m36s +68d37m00s
00h03m48s +07d28m00s
00h03m48s +16d00m00s
00h04m00s +20d45m00s
00h04m12s +07d21m00s
00h04m12s -11d58m00s
00h04m24s +31d29m00s
00h04m36s +05d11m00s
00h04m48s -62d04m00s
00h05m06s -03d07m00s
00h05m12s +06d54m00s
00h05m12s +05d12m00s
00h05m12s -20d44m00s
00h05m12s -11d30m00s
00h05m18s -16d29m00s
00h05m30s +05d13m00s
00h06m12s +08d22m00s
00h06m24s -13d24m00s
00h06m24s -13d24m00s
00h06m24s -00d04m00s
00h06m30s +27d38m00s
00h06m30s -03d43m00s
00h06m36s -03d42m00s
00h06m42s +08d21m00s
00h06m48s +08d25m00s
00h06m54s +08d20m00s
00h07m00s +08d20m00s
00h07m00s +27d38m00s
00h07m06s +08d33m00s
00h07m18s +27d43m00s
00h07m18s +27d41m00s
00h07m18s +08d17m00s
00h07m18s +32d35m00s
00h07m18s +32d37m00s
00h07m24s +08d22m00s
00h07m48s +35d21m00s
00h08m00s +33d04m00s
00h08m18s +32d30m00s
00h08m24s -29d55m00s
00h08m24s +27d43m00s
00h08m36s -33d52m00s
00h08m42s +37d26m00s
00h08m42s +04d37m00s
00h08m48s +23d50m00s
00h08m48s +33d26m00s
00h08m48s +15d49m00s
00h08m54s +23d49m00s
00h09m06s +21d36m00s
00h09m06s +27d44m00s
00h09m24s +27d43m00s
00h09m24s +32d50m00s
00h09m30s +33d19m00s
00h09m36s -32d17m00s
00h09m48s +27d50m00s
00h09m54s +25d55m00s
00h09m54s -24d58m00s
00h09m54s -57d03m00s
00h09m54s -64d22m00s
00h10m18s -57d01m00s
00h10m24s +25d50m00s
00h10m30s +29d00m00s
00h10m30s -57d00m00s
00h10m36s -07d25m00s
00h10m42s +32d59m00s
00h10m48s +33d21m00s
00h10m48s +21d57m00s
00h10m54s +18d47m00s
00h10m54s +03d40m00s
00h11m00s -12d06m00s
00h11m00s -12d49m00s
00h11m06s -12d06m00s
00h11m12s -12d00m00s
00h11m18s -56d58m00s
00h11m24s +06d23m00s
00h11m54s -05d36m00s
00h12m06s -00d25m00s
00h12m18s +31d03m00s
00h12m48s +22d02m00s
00h12m54s +22d06m00s
00h13m00s +72d32m00s
00h13m00s +30d54m00s
00h13m06s +31d17m00s
00h13m24s +17d29m00s
00h13m48s +48d09m00s
00h14m00s +48d14m00s
00h14m00s +48d09m00s
00h14m06s -23d11m00s
00h14m06s +05d59m00s
00h14m12s +48d08m00s
00h14m18s +48d14m00s
00h14m30s -07d11m00s
00h14m30s -07d10m00s
00h14m36s +48d15m00s
00h14m36s +18d33m00s
00h14m42s -07d20m00s
00h14m42s -60d20m00s
00h14m54s -39d11m00s
00h15m06s -07d08m00s
00h15m24s +12d26m00s
00h15m24s +17d18m00s
00h15m30s -21d27m00s
00h16m00s -00d18m00s
00h16m00s -39d19m00s
00h16m30s -06d14m00s
00h17m06s -13d28m00s
00h17m24s -09d33m00s
00h17m30s -06d51m00s
00h17m42s +11d27m00s
00h18m00s +30d04m00s
00h18m12s +30d04m00s
00h18m18s +30d04m00s
00h18m18s +30d02m00s
00h18m24s +30d05m00s
00h18m24s +30d04m00s
00h18m24s +30d06m00s
00h18m30s +30d02m00s
00h18m48s -15d21m00s
00h18m54s +30d03m00s
00h19m00s -03d16m00s
00h19m06s -22d54m00s
00h19m06s +10d33m00s
00h19m06s -03d13m00s
00h19m12s -22d57m00s
00h19m30s +06d25m00s
00h19m36s +29d56m00s
00h19m42s -14d07m00s
00h19m48s +23d43m00s
00h20m00s -22d31m00s
00h20m00s +22d01m00s
00h20m18s -02d39m00s
00h20m24s +00d49m00s
00h20m24s +59d18m00s
00h20m24s +07d42m00s
00h20m30s +56d36m00s
00h20m36s +22d37m00s
00h20m54s +21d53m00s
00h21m00s +22d34m00s
00h21m12s +22d21m00s
00h21m12s +22d22m00s
00h21m12s -48d38m00s
00h21m18s -48d39m00s
00h21m18s -48d41m00s
00h21m18s +23d02m00s
00h21m18s +21d59m00s
00h21m24s +22d26m00s
00h21m24s +22d26m00s
00h21m24s +22d30m00s
00h21m30s +22d36m00s
00h21m30s +22d33m00s
00h21m30s -48d38m00s
00h21m30s +22d30m00s
